url,title,content
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/does-an-entity-s-pci-dss-assessment-result-expire-when-the-standard-against-which-the-entity-was-assessed-is-retired/,Does an entity's PCI DSS assessment result expire when the standard against which the entity was assessed is retired?,"No. The period for which an entity's PCI DSS assessment result is valid does not change if the standard against which the entity was assessed has been retired. However, how long an assessment result is valid and how frequently an entity must be reassessed is determined by organizations that manage compliance programs (for example, payment brands and acquirers).<br/>
<br/>
Entities should always contact their acquirer or the payment brands directly for information about their compliance programs and reporting requirements. Contact details for the payment brands can be found in FAQ #1142 <a data-lr=""1"" href=""/faq/articles/Frequently_Asked_Question/How-do-I-contact-the-payment-card-brands"" rel=""noopener"" target=""_blank"">How do I contact the payment card brands?</a><br/>
Also refer to the following related FAQs:"
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/is-pre-authorization-account-data-in-scope-for-pci-dss/,Is pre-authorization account data in scope for PCI DSS?,"Yes, PCI DSS applies wherever cardholder data (CHD) and/or sensitive authentication data (SAD) is stored, processed or transmitted, irrespective of whether it is pre-authorization or post-authorization. There are no specific rules in PCI DSS regarding how long CHD or SAD can be stored prior to authorization, but such data would need to be protected according to PCI DSS.  Use of PTS-validated payment devices and PA-DSS validated payment applications can support PCI DSS compliance for the protection of data prior to authorization.<br/><br/>With respect to SAD, PCI DSS Requirement 3.2 prohibits storage of SAD AFTER authorization, even if encrypted. Whether SAD is permitted to be stored prior to authorization is determined by the individual payment brands, including any related usage and protection requirements. Additionally, several payment brands have very specific rules that prohibit any storage of SAD and do not make any exceptions. To determine payment brand requirements, please contact the individual payment brands directly. Contact information for the payment brands can be found in FAQ 1142."
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/what-evidence-is-a-tpsp-expected-to-provide-to-customers-to-demonstrate-pci-dss-compliance/,What evidence is a TPSP expected to provide to customers to demonstrate PCI DSS compliance?,"<span style=""font-family: Calibri,sans-serif""><span>If the TPSP undergoes its own PCI DSS assessment, it is expected to provide sufficient evidence to its customers to verify that the scope of the TPSP's PCI DSS assessment covered the services applicable to the customer, and that the relevant PCI DSS requirements were examined and determined to be in place. If the TPSP has a PCI DSS Attestation of Compliance (AOC), it is expected to provide the AOC to customers upon request. This AOC should be applicable to the services the TPSP provides to the customer(s) and provide evidence that the PCI DSS requirements relevant to those services are met. The customer may also request relevant sections of the TPSP's PCI DSS Report on Compliance (ROC) or Self-Assessment Questionnaire (SAQ) D for Service Providers.</span></span>"
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/is-an-emvco-letter-of-approval-required-prior-to-conducting-a-pci-3ds-assessment/,Is an EMVCo Letter of Approval required prior to conducting a PCI 3DS Assessment?,"No, an EMVCo Letter of Approval (LOA) is not required for a PCI 3DS Assessor to perform an assessment to the PCI 3DS Core Security Standard.  If an EMVCo LOA is not obtained prior to completing the PCI 3DS Assessment, the assessed entity should select the ""other"" option in Part 2a of the PCI 3DS Attestation of Compliance (AOC) and explain why the 3DS functions or services being assessed do not have an associated EMVCo LOA.  <br/><br/>Whether a completed PCI 3DS Report on Compliance (ROC) will be accepted without an EMVCo LOA is determined by the individual payment brands.  Contact details for the payment brands can be found in <span>FAQ #1142 </span><a data-lr=""1"" href=""/faq/articles/Frequently_Asked_Question/How-do-I-contact-the-payment-card-brands"" rel=""noopener"" target=""_blank"">How do I contact the payment card brands?</a>"
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/for-vulnerability-scans-what-is-meant-by-quarterly-or-at-least-once-every-three-months/,"For vulnerability scans, what is meant by ""quarterly"" or ""at least once every three months""?","<span>The intent of conducting vulnerability scans ""quarterly"" or ""at least once every three months,"" as defined in PCI DSS v3.2.1 and v4.0 respectively, is to have them conducted as close to three months apart as possible, to ensure vulnerabilities are identified and addressed in a timely manner. To meet the vulnerability scanning requirements in PCI DSS Requirement 11, an entity is required to complete their internal and external scans, and perform any required remediation, at least once every three months.</span><br/><br/><span>At least once every three months, or 90 days, is considered the maximum amount of time that should be allowed to pass between quarterly vulnerability scans. If unforeseen circumstances occur that impact an entity's ability to complete scheduled scans, every effort should be made to perform scans as soon as possible (for example, within a day or two) of the scheduled scan date. Where an entity has advance notice of factors that may delay scans or impede their ability to address vulnerabilities (for example, scheduled system downtime, or predefined no-change windows that prevent system updates), the entity should strive to schedule scans before the three-month period is reached.</span><br/><br/><span>Entities are encouraged to perform vulnerability scans more frequently than required as it will enhance security by allowing quicker identification and resolution of vulnerabilities. More frequent vulnerability scans also provide entities with earlier awareness of vulnerabilities that need to be resolved, thereby increasing the likelihood that all vulnerabilities are successfully identified and resolved within the three-month period.</span><br/><br/><span>PCI DSS also requires vulnerability scans after significant changes. These scans are required in addition to the scans conducted at least once every three months; this means that vulnerability scans are required both 1) at least once every three months and 2) after a significant change. </span><br/><br/><span>Also refer to the following related FAQ: </span>"
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/can-the-compliant-but-with-legal-exception-option-in-the-aoc-be-used-to-identify-where-a-testing-procedure-could-not-be-performed-due-to-a-legal-constraint/,"Can the ""Compliant but with Legal exception"" option in the AOC be used to identify where a testing procedure could not be performed due to a legal constraint?","No.  The ""Compliant but with Legal exception"" option in Part 3 of an Attestation of Compliance (AOC) allows an entity to document that they could not implement one or more requirements because doing so would contravene a local or regional law or regulation.  In such circumstances, the requirements that cannot be met must be marked as ""Not in Place"" in the accompanying ROC (Report on Compliance) or SAQ (Self-Assessment Questionnaire), as applicable.  Use of the ""Compliant but with Legal exception"" option also requires additional review from the acquirer or payment brand to whom compliance is being reported.<br/>
<br/>
Where the assessor is unable to complete testing of a requirement because of a legal constraint-for example, due to government enforced travel restrictions, local or regional lockdowns, or other factors impacting the assessor's ability to gain access or complete a testing activity-the affected requirements must be marked as 'Not Tested'.  Because the assessor was unable to determine whether the requirement has been met, Part 3 of the AOC must be marked as 'Non-Compliant.'<br/>
<br/>
In situations where testing procedures cannot be completed, assessors are encouraged to document in the report why the requirement could not be tested, and entities encouraged to consult with their acquirer and/or payment brand to understand expectations regarding partial or incomplete assessments."
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/are-point-of-sale-devices-required-to-be-physically-secured-e-g-with-a-cable-or-tether-to-prevent-removal-or-substitution-in-order-to-meet-pci-dss-requirement-9-9/,Are point-of-sale devices required to be physically secured (e.g. with a cable or tether) to prevent removal or substitution in order to meet PCI DSS Requirement 9.9?,"<span><span>No, PCI DSS Requirement 9.9 does not require devices to be fixed in place or physically attached to a surface. Requirement 9.9 and its three sub-requirements address three areas of device security:</span></span>"
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/should-i-complete-the-prioritized-approach-milestones-in-sequential-order/,Should I complete the Prioritized Approach milestones in sequential order?,"The Prioritized Approach was developed to address the highest common risks first in Milestone 1, the next highest risks in Milestone 2, etc. The Prioritized Approach provides a means to address risks quickly by first identifying where payment card data exists, and what parts of the network connect to this data.  That being said, each environment is unique, and organizations are encouraged to take a holistic view to payment card security and incorporate their PCI DSS compliance into an overall security strategy."
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/does-pci-dss-define-which-versions-of-tls-must-be-used/,Does PCI DSS define which versions of TLS must be used?,"No.  However, PCI DSS does not consider SSL or early TLS to be strong cryptography.<br/>
<br/>
Transport Layer Security (TLS) is a protocol that encrypts traffic between two endpoints to provide privacy and reliability of transmitted data and is widely used for internet communications and online transactions. Current available versions of TLS include TLS 1.0, TLS 1.1, TLS 1.2, and TLS 1.3. PCI DSS does not allow the use of SSL or early TLS as a security control, with one exception. For allowed uses of early TLS, see the PCI SSC <i>Information Supplement, Use of SSL /Early TLS for POS POI Terminal Connections</i>.<br/>
<br/>
The term ""early TLS"" does not refer to a specific version(s) of the protocol, but rather it encompasses any version or implementation of TLS that is vulnerable to a known exploit. This categorization is intended to help entities identify and prioritize mitigation efforts for TLS implementations known to be inherently vulnerable. Entities should have processes to monitor threats as they continue to evolve and as new versions of the protocol are released to address those threats, and to keep the entity's cryptographic implementations up to date to prevent them becoming vulnerable to known exploits.<br/>
<br/>
All cryptographic implementations, including TLS, must use and support modern cryptographic algorithms, secure configuration settings, and other features as needed to meet the intent of strong cryptography. This means that every TLS implementation, irrespective of the protocol version, must apply strong cryptography using an appropriate cipher suite to implement a secure key exchange algorithm, strong cryptography, and an appropriate message authentication for strong cryptography and security protocols.<br/>
<br/>
Entities using TLS should review their implementations against industry references (such as the current version of NIST SP 800-52) for guidance on configuration options that meet the intent of strong cryptography. Note that, while industry guidelines such as NIST SP 800-52 may provide additional insight into specific configurations and implementations and provide the rationale for implementing particular controls, PCI DSS does not mandate the use of external standards or guidance in meeting strong cryptography. In addition to monitoring specific threats to cryptographic implementations, entities should monitor changes in industry best practices and standards, and where applicable, entities should apply modifications to minimum cryptographic standards used within their environments to ensure that sensitive information such as account data and authentication credentials remain secured.<br/>
<br/>
It is expected that systems conducting negotiation of TLS protocols use the strongest cipher suites first, with subsequent negotiation to mutually supported cipher suites only if needed, but always within the bounds of the minimum standard of strong cryptography and security protocols.<br/>
<br/>
For the definition of ""strong cryptography"" as used in PCI DSS, refer to the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronyms available in PCI SSC's Document Library, under the PCI DSS drop-down menu. "
https://www.pcisecuritystandards.org/faq/articles/Frequently_Asked_Question/can-vlans-be-used-for-network-segmentation/,Can VLANS be used for network segmentation?,"In general, implementing adequate network segmentation can reduce the scope of the PCI DSS assessment if it isolates systems that store, process, or transmit cardholder data from other systems. While this segmentation can be implemented with, for example, properly-configured internal firewalls, routers with strong access control lists, VLANs, or other technologies that restrict access to a particular network segment, the PCI Security Standards Council is not able to offer an opinion about how your organization can achieve adequate network segmentation since it requires an understanding of security features and controls implemented in your environment. We encourage you to contact a Qualified Security Assessor (QSA) to assist in scoping your cardholder data environment and recommend methods specific to your organization to help reduce the scope of your PCI DSS assessment. Our list of QSAs can be found at: <a href=""http://In general, implementing adequate network segmentation can reduce the scope of the PCI DSS assessment if it isolates systems that store, process, or transmit cardholder data from other systems. While this segmentation can be implemented with, for example, properly-configured internal firewalls, routers with strong access control lists, VLANs, or other technologies that restrict access to a particular network segment, the PCI Security Standards Council is not able to offer an opinion about how your organization can achieve adequate network segmentation since it requires an understanding of security features and controls implemented in your environment. We encourage you to contact a Qualified Security Assessor (QSA) to assist in scoping your cardholder data environment and recommend methods specific to your organization to help reduce the scope of your PCI DSS assessment. Our list of QSAs can be found at:    https://www.pcisecuritystandards.org/approved_companies_providers/qualified_security_assessors.php"" rel=""noopener"" target=""_blank"">List of QSA Assessors</a>"
